Season_year,Season_div,OPP,Result,T Score,O Score,MIN,FG,FGM,FGA,FG%,3PT,3PTM,3PTA,3P%,FT,FTM,FTA,FT%,REB,AST,BLK,STL,PF,TO,PTS,Date
2019-2020,Pre,LAL,W,124,103,33,9-20,9,20,45,6-15,6,15,40,8-8,8,8,100,1,6,1,0,4,2,32,18/10/2019
2019-2020,Pre,LAL,L,98,104,21,6-17,6,17,35.3,3-8,3,8,37.5,2-2,2,2,100,1,3,2,2,3,3,17,14/10/2019
2019-2020,Pre,MIN,W,143,123,25,14-19,14,19,73.7,6-9,6,9,66.7,6-6,6,6,100,6,6,1,2,2,5,40,10/10/2019
2019-2020,Pre,LAL,L,101,123,18,5-11,5,11,45.5,1-5,1,5,20,7-8,7,8,87.5,3,2,0,2,0,1,18,5/10/2019
2020-2021,Regular,MEM,W,113,101,40,16-36,16,36,44.4,9-22,9,22,40.9,5-6,5,6,83.3,7,9,1,1,2,7,46,16/5/2021
2020-2021,Regular,PHX,W,122,116,37,7-22,7,22,31.8,1-11,1,11,9.1,6-6,6,6,100,3,6,0,1,2,3,21,11/5/2021
2020-2021,Regular,UTA,W,119,116,37,11-25,11,25,44,3-13,3,13,23.1,11-12,11,12,91.7,4,6,0,2,1,3,36,10/5/2021
2020-2021,Regular,OKC,W,136,97,29,14-26,14,26,53.8,11-21,11,21,52.4,10-10,10,10,100,5,2,0,1,2,1,49,8/5/2021
2020-2021,Regular,OKC,W,118,97,31,11-21,11,21,52.4,6-13,6,13,46.2,6-7,6,7,85.7,4,7,0,1,2,3,34,6/5/2021
2020-2021,Regular,NOP,L,103,108,37,13-31,13,31,41.9,8-20,8,20,40,3-3,3,3,100,9,2,0,3,2,4,37,4/5/2021
2020-2021,Regular,NOP,W,123,108,35,14-26,14,26,53.8,8-18,8,18,44.4,5-6,5,6,83.3,4,8,0,1,5,4,41,3/5/2021
2020-2021,Regular,HOU,W,113,87,30,9-23,9,23,39.1,7-17,7,17,41.2,5-7,5,7,71.4,5,5,0,1,0,4,30,1/5/2021
2020-2021,Regular,MIN,L,114,126,37,11-27,11,27,40.7,6-17,6,17,35.3,9-9,9,9,100,6,8,0,2,4,3,37,29/4/2021
2020-2021,Regular,DAL,L,103,133,30,9-18,9,18,50,5-9,5,9,55.6,4-4,4,4,100,1,2,0,2,1,2,27,27/4/2021
2020-2021,Regular,SAC,W,117,113,38,11-21,11,21,52.4,7-14,7,14,50,8-11,8,11,72.7,7,4,1,1,1,7,37,25/4/2021
2020-2021,Regular,DEN,W,118,97,34,11-18,11,18,61.1,4-9,4,9,44.4,6-6,6,6,100,8,3,0,0,3,3,32,23/4/2021
2020-2021,Regular,WSH,L,114,118,36,7-25,7,25,28,2-14,2,14,14.3,2-2,2,2,100,7,8,0,1,2,6,18,21/4/2021
2020-2021,Regular,PHI,W,107,96,37,14-28,14,28,50,10-17,10,17,58.8,11-12,11,12,91.7,3,5,0,0,2,6,49,19/4/2021
2020-2021,Regular,BOS,L,114,119,37,15-27,15,27,55.6,11-19,11,19,57.9,6-8,6,8,75,7,3,0,0,2,5,47,17/4/2021
2020-2021,Regular,CLE,W,119,101,35,12-25,12,25,48,4-13,4,13,30.8,5-5,5,5,100,4,5,2,0,3,4,33,15/4/2021
2020-2021,Regular,OKC,W,147,109,29,14-20,14,20,70,11-16,11,16,68.8,3-3,3,3,100,6,8,0,0,3,0,42,14/4/2021
2020-2021,Regular,DEN,W,116,107,36,14-24,14,24,58.3,10-18,10,18,55.6,15-16,15,16,93.8,6,4,0,0,3,5,53,12/4/2021
2020-2021,Regular,HOU,W,125,109,35,13-21,13,21,61.9,8-15,8,15,53.3,4-4,4,4,100,8,5,0,1,3,5,38,10/4/2021
2020-2021,Regular,WSH,L,107,110,35,11-25,11,25,44,5-12,5,12,41.7,5-6,5,6,83.3,6,5,0,3,0,2,32,9/4/2021
2020-2021,Regular,MIL,W,122,121,38,14-21,14,21,66.7,5-10,5,10,50,8-9,8,9,88.9,6,4,0,0,2,4,41,6/4/2021
2020-2021,Regular,ATL,L,111,117,37,12-23,12,23,52.2,3-12,3,12,25,10-12,10,12,83.3,5,2,1,2,0,8,37,4/4/2021
2020-2021,Regular,MIA,L,109,116,36,9-19,9,19,47.4,5-11,5,11,45.5,13-13,13,13,100,11,3,0,0,2,3,36,1/4/2021
2020-2021,Regular,CHI,W,116,102,30,11-24,11,24,45.8,6-14,6,14,42.9,4-5,4,5,80,5,6,0,1,0,1,32,29/3/2021
2020-2021,Regular,HOU,W,108,94,30,7-18,7,18,38.9,2-11,2,11,18.2,2-2,2,2,100,5,8,0,1,3,2,18,17/3/2021
2020-2021,Regular,LAL,L,97,128,29,9-17,9,17,52.9,4-7,4,7,57.1,5-5,5,5,100,3,2,0,3,1,2,27,15/3/2021
2020-2021,Regular,UTA,W,131,119,36,10-20,10,20,50,6-9,6,9,66.7,6-7,6,7,85.7,5,9,0,1,3,3,32,14/3/2021
2020-2021,Regular,LAC,L,104,130,27,6-16,6,16,37.5,1-8,1,8,12.5,1-2,1,2,50,4,3,1,2,1,2,14,11/3/2021
2020-2021,Regular,POR,L,106,108,36,13-28,13,28,46.4,5-14,5,14,35.7,4-5,4,5,80,7,5,0,3,1,4,35,3/3/2021
2020-2021,Regular,LAL,L,91,117,26,5-13,5,13,38.5,2-7,2,7,28.6,4-5,4,5,80,4,7,0,3,2,3,16,28/2/2021
2020-2021,Regular,CHA,W,130,121,36,8-15,8,15,53.3,3-8,3,8,37.5,10-10,10,10,100,4,9,0,1,1,4,29,26/2/2021
2020-2021,Regular,IND,W,111,107,36,7-21,7,21,33.3,1-11,1,11,9.1,9-10,9,10,90,8,8,0,2,2,4,24,24/2/2021
2020-2021,Regular,NYK,W,114,106,37,9-22,9,22,40.9,7-14,7,14,50,12-12,12,12,100,6,6,0,2,1,2,37,23/2/2021
2020-2021,Regular,ORL,L,120,124,37,11-29,11,29,37.9,6-16,6,16,37.5,1-1,1,1,100,7,11,0,0,3,1,29,19/2/2021
2020-2021,Regular,MIA,W,120,112,42,8-25,8,25,32,5-20,5,20,25,4-4,4,4,100,7,11,0,2,1,3,25,17/2/2021
2020-2021,Regular,CLE,W,129,98,30,13-19,13,19,68.4,7-11,7,11,63.6,3-3,3,3,100,2,6,0,0,0,1,36,15/2/2021
2020-2021,Regular,BKN,L,117,134,34,10-17,10,17,58.8,2-9,2,9,22.2,5-5,5,5,100,3,5,0,0,2,4,27,13/2/2021
2020-2021,Regular,ORL,W,111,105,37,14-26,14,26,53.8,10-19,10,19,52.6,2-2,2,2,100,8,5,0,4,1,6,40,11/2/2021
2020-2021,Regular,SAS,W,114,91,32,11-20,11,20,55,4-10,4,10,40,6-8,6,8,75,4,2,0,0,1,1,32,9/2/2021
2020-2021,Regular,SAS,L,100,105,36,10-17,10,17,58.8,6-11,6,11,54.5,6-6,6,6,100,7,6,0,1,1,1,32,8/2/2021
2020-2021,Regular,DAL,L,132,134,37,19-31,19,31,61.3,11-19,11,19,57.9,8-8,8,8,100,2,5,0,1,3,3,57,6/2/2021
2020-2021,Regular,DAL,W,147,116,30,9-17,9,17,52.9,4-10,4,10,40,6-6,6,6,100,3,6,0,0,2,2,28,4/2/2021
