Season_year,Season_div,OPP,Result,T Score,O Score,MIN,FG,FGM,FGA,FG%,3PT,3PTM,3PTA,3P%,FT,FTM,FTA,FT%,REB,AST,BLK,STL,PF,TO,PTS,Date
2009-2010,Regular,CHA,L,110,121,41,8-15,8,15,53.3,2-4,2,4,50,4-4,4,4,100,1,9,0,3,3,1,22,29/1/2010
2009-2010,Regular,NOP,L,110,123,41,7-13,7,13,53.8,1-3,1,3,33.3,0-0,0,0,0,5,8,0,3,4,5,15,27/1/2010
2009-2010,Regular,SAC,L,96,99,45,10-22,10,22,45.5,3-10,3,10,30,4-5,4,5,80,9,6,0,3,3,1,27,26/1/2010
2009-2010,Regular,PHX,L,103,112,40,10-25,10,25,40,4-9,4,9,44.4,1-1,1,1,100,5,2,0,0,4,1,25,23/1/2010
2009-2010,Regular,BKN,W,111,79,48,11-21,11,21,52.4,3-7,3,7,42.9,7-8,7,8,87.5,2,7,0,4,4,2,32,22/1/2010
2009-2010,Regular,DEN,L,118,123,49,6-17,6,17,35.3,3-8,3,8,37.5,0-0,0,0,0,3,6,0,1,2,3,15,20/1/2010
2009-2010,Regular,CHI,W,114,97,43,9-18,9,18,50,5-8,5,8,62.5,3-3,3,3,100,10,6,1,1,4,5,26,18/1/2010
2009-2010,Regular,MIL,L,104,113,48,7-17,7,17,41.2,1-4,1,4,25,3-3,3,3,100,6,4,1,6,6,4,18,15/1/2010
2009-2010,Regular,MIA,L,102,115,33,3-10,3,10,30,3-5,3,5,60,0-0,0,0,0,4,4,0,0,1,4,9,13/1/2010
2009-2010,Regular,CLE,L,114,117,36,8-15,8,15,53.3,1-2,1,2,50,4-5,4,5,80,7,5,1,1,4,2,21,11/1/2010
2009-2010,Regular,SAC,W,108,101,34,5-10,5,10,50,1-2,1,2,50,1-2,1,2,50,3,4,0,1,3,2,12,8/1/2010
2009-2010,Regular,MIN,W,107,101,30,7-11,7,11,63.6,0-2,0,2,0,2-2,2,2,100,1,4,0,2,6,1,16,6/1/2010
2009-2010,Regular,DEN,L,122,123,40,10-13,10,13,76.9,6-6,6,6,100,0-0,0,0,0,5,6,0,3,3,2,26,5/1/2010
2009-2010,Regular,POR,L,89,105,29,4-10,4,10,40,1-2,1,2,50,0-0,0,0,0,1,1,0,1,4,3,9,2/1/2010
2009-2010,Regular,LAL,L,118,124,23,6-10,6,10,60,0-1,0,1,0,3-3,3,3,100,3,3,0,0,3,4,15,29/12/2009
2009-2010,Regular,BOS,W,103,99,11,0-4,0,4,0,0-1,0,1,0,0-1,0,1,0,2,0,0,1,3,1,0,28/12/2009
2009-2010,Regular,PHX,W,132,127,27,4-10,4,10,40,3-4,3,4,75,2-2,2,2,100,3,4,0,3,4,1,13,26/12/2009
2009-2010,Regular,NOP,L,102,108,47,6-13,6,13,46.2,3-5,3,5,60,2-2,2,2,100,10,7,0,2,5,2,17,23/12/2009
2009-2010,Regular,MEM,L,108,121,41,6-15,6,15,40,2-6,2,6,33.3,0-0,0,0,0,7,8,0,0,2,4,14,22/12/2009
2009-2010,Regular,WSH,L,109,118,46,9-17,9,17,52.9,5-9,5,9,55.6,4-4,4,4,100,8,4,0,3,4,2,27,18/12/2009
2009-2010,Regular,SAS,L,91,103,25,4-11,4,11,36.4,0-2,0,2,0,0-0,0,0,0,4,3,0,4,5,1,8,16/12/2009
2009-2010,Regular,PHI,L,101,117,36,5-13,5,13,38.5,1-4,1,4,25,3-4,3,4,75,4,4,1,4,5,4,14,14/12/2009
2009-2010,Regular,DET,L,95,104,38,5-10,5,10,50,3-4,3,4,75,6-6,6,6,100,2,4,1,4,4,4,19,12/12/2009
2009-2010,Regular,CHI,L,91,96,27,3-9,3,9,33.3,0-3,0,3,0,0-0,0,0,0,3,1,0,1,0,0,6,11/12/2009
2009-2010,Regular,BKN,W,105,89,30,6-13,6,13,46.2,1-4,1,4,25,1-2,1,2,50,4,4,0,3,4,4,14,9/12/2009
2009-2010,Regular,OKC,L,88,104,36,9-14,9,14,64.3,2-4,2,4,50,2-2,2,2,100,4,2,0,4,5,5,22,7/12/2009
2009-2010,Regular,ORL,L,118,126,46,6-12,6,12,50,0-2,0,2,0,1-1,1,1,100,3,3,0,1,4,3,13,5/12/2009
2009-2010,Regular,HOU,L,109,111,32,4-8,4,8,50,1-3,1,3,33.3,2-2,2,2,100,5,2,1,2,3,4,11,3/12/2009
2009-2010,Regular,DEN,L,107,135,41,4-14,4,14,28.6,2-6,2,6,33.3,0-0,0,0,0,4,6,2,2,2,1,10,1/12/2009
2009-2010,Regular,IND,W,126,107,20,2-5,2,5,40,1-2,1,2,50,2-2,2,2,100,2,4,0,3,2,2,7,30/11/2009
2009-2010,Regular,LAL,L,97,130,36,5-15,5,15,33.3,1-5,1,5,20,2-2,2,2,100,4,8,0,0,0,1,13,28/11/2009
2009-2010,Regular,SAS,L,104,118,34,5-16,5,16,31.3,1-4,1,4,25,0-0,0,0,0,7,5,2,1,3,6,11,25/11/2009
2009-2010,Regular,DAL,W,111,103,35,6-12,6,12,50,2-4,2,4,50,4-4,4,4,100,4,6,0,3,5,4,18,24/11/2009
2009-2010,Regular,POR,W,108,94,46,3-9,3,9,33.3,2-3,2,3,66.7,4-5,4,5,80,6,8,1,1,6,1,12,20/11/2009
2009-2010,Regular,BOS,L,95,109,35,4-10,4,10,40,1-4,1,4,25,4-4,4,4,100,0,7,0,4,3,6,13,18/11/2009
2009-2010,Regular,CLE,L,108,114,41,6-10,6,10,60,2-6,2,6,33.3,0-1,0,1,0,5,7,0,0,2,3,14,17/11/2009
2009-2010,Regular,MIL,L,125,129,26,6-9,6,9,66.7,2-2,2,2,100,0-0,0,0,0,4,2,1,2,5,1,14,14/11/2009
2009-2010,Regular,NYK,W,121,107,3,0-0,0,0,0,0-0,0,0,0,0-0,0,0,0,0,0,1,0,1,0,0,13/11/2009
2009-2010,Regular,IND,L,94,108,21,3-7,3,7,42.9,0-2,0,2,0,0-0,0,0,0,1,4,0,1,2,3,6,11/11/2009
2009-2010,Regular,MIN,W,146,105,30,2-8,2,8,25,1-2,1,2,50,3-4,3,4,75,2,5,0,1,1,2,8,9/11/2009
2009-2010,Regular,SAC,L,107,120,31,4-8,4,8,50,1-2,1,2,50,0-2,0,2,0,4,6,0,0,4,5,9,8/11/2009
2009-2010,Regular,LAC,L,90,118,22,1-5,1,5,20,0-1,0,1,0,3-4,3,4,75,1,3,0,0,6,0,5,6/11/2009
2009-2010,Regular,MEM,W,113,105,28,3-6,3,6,50,1-2,1,2,50,0-0,0,0,0,5,9,0,2,4,1,7,4/11/2009
2009-2010,Regular,PHX,L,101,123,39,5-9,5,9,55.6,2-3,2,3,66.7,0-0,0,0,0,2,4,0,1,5,3,12,30/10/2009
2009-2010,Regular,HOU,L,107,108,36,7-12,7,12,58.3,0-1,0,1,0,0-0,0,0,0,2,7,0,4,2,2,14,28/10/2009
2010-2011,Regular,POR,W,110,86,24,7-11,7,11,63.6,2-4,2,4,50,2-2,2,2,100,3,9,0,0,4,1,18,13/4/2011
2010-2011,Regular,DEN,L,111,134,36,10-13,10,13,76.9,3-4,3,4,75,4-4,4,4,100,5,5,0,0,1,5,27,11/4/2011
2010-2011,Regular,SAC,L,103,104,32,11-17,11,17,64.7,3-6,3,6,50,2-2,2,2,100,6,8,0,1,4,3,27,10/4/2011
2010-2011,Regular,LAL,W,95,87,42,8-23,8,23,34.8,2-6,2,6,33.3,2-2,2,2,100,6,5,0,2,3,2,20,6/4/2011
2010-2011,Regular,POR,W,108,87,42,10-21,10,21,47.6,3-5,3,5,60,5-6,5,6,83.3,8,4,1,2,2,2,28,5/4/2011
2010-2011,Regular,DAL,W,99,92,32,3-8,3,8,37.5,1-3,1,3,33.3,5-5,5,5,100,4,8,0,2,5,3,12,2/4/2011
2010-2011,Regular,MEM,L,91,110,31,2-14,2,14,14.3,1-6,1,6,16.7,1-1,1,1,100,6,9,0,1,4,6,6,30/3/2011
2010-2011,Regular,OKC,L,114,115,49,13-23,13,23,56.5,5-8,5,8,62.5,4-4,4,4,100,6,5,0,2,3,6,35,29/3/2011
2010-2011,Regular,WSH,W,114,104,28,3-11,3,11,27.3,1-4,1,4,25,3-3,3,3,100,5,4,1,1,5,5,10,27/3/2011
2010-2011,Regular,TOR,W,138,100,36,7-13,7,13,53.8,4-6,4,6,66.7,5-5,5,5,100,3,8,0,0,2,3,23,25/3/2011
2010-2011,Regular,HOU,L,112,131,30,7-16,7,16,43.8,2-3,2,3,66.7,0-0,0,0,0,6,6,0,1,4,4,16,23/3/2011
2010-2011,Regular,SAS,L,96,111,20,3-8,3,8,37.5,1-2,1,2,50,1-1,1,1,100,0,2,0,0,4,1,8,21/3/2011
2010-2011,Regular,DAL,L,73,101,31,4-12,4,12,33.3,1-3,1,3,33.3,2-3,2,3,66.7,6,6,0,0,4,2,11,20/3/2011
2010-2011,Regular,PHX,L,97,108,35,6-13,6,13,46.2,2-5,2,5,40,1-1,1,1,100,2,5,0,0,3,2,15,18/3/2011
2010-2011,Regular,DAL,L,106,112,32,4-10,4,10,40,2-4,2,4,50,0-1,0,1,0,0,5,0,1,2,3,10,16/3/2011
2010-2011,Regular,SAC,L,119,129,24,7-14,7,14,50,5-8,5,8,62.5,0-0,0,0,0,3,1,1,1,1,3,19,14/3/2011
2010-2011,Regular,MIN,W,100,77,38,8-15,8,15,53.3,4-6,4,6,66.7,4-4,4,4,100,9,6,0,2,2,1,24,13/3/2011
2010-2011,Regular,ORL,W,123,120,40,8-19,8,19,42.1,4-10,4,10,40,2-2,2,2,100,4,12,0,3,4,5,22,11/3/2011
2010-2011,Regular,BKN,L,90,94,30,6-15,6,15,40,2-4,2,4,50,1-1,1,1,100,3,3,0,2,3,3,15,9/3/2011
2010-2011,Regular,CLE,W,95,85,39,10-18,10,18,55.6,2-5,2,5,40,1-1,1,1,100,7,6,1,2,3,3,23,8/3/2011
2010-2011,Regular,PHI,L,117,125,35,8-16,8,16,50,1-3,1,3,33.3,5-5,5,5,100,1,7,2,0,3,4,22,6/3/2011
2010-2011,Regular,BOS,L,103,107,32,4-11,4,11,36.4,1-4,1,4,25,0-0,0,0,0,3,5,0,0,3,4,9,4/3/2011
2010-2011,Regular,WSH,W,106,102,37,9-18,9,18,50,3-7,3,7,42.9,8-9,8,9,88.9,9,5,0,1,2,3,29,2/3/2011
2010-2011,Regular,IND,L,100,109,35,7-17,7,17,41.2,4-8,4,8,50,2-2,2,2,100,6,7,1,0,5,5,20,1/3/2011
2010-2011,Regular,MIN,L,123,126,45,13-21,13,21,61.9,5-7,5,7,71.4,2-2,2,2,100,11,2,0,2,1,2,33,27/2/2011
2010-2011,Regular,ATL,L,79,95,30,2-7,2,7,28.6,0-2,0,2,0,3-3,3,3,100,2,5,0,0,1,3,7,25/2/2011
2010-2011,Regular,BOS,L,93,115,30,7-10,7,10,70,1-2,1,2,50,3-5,3,5,60,4,2,0,1,4,5,18,22/2/2011
2010-2011,Regular,UTA,W,107,100,22,1-7,1,7,14.3,0-3,0,3,0,2-2,2,2,100,0,4,0,2,5,1,4,16/2/2011
2010-2011,Regular,NOP,W,102,89,24,5-5,5,5,100,3-3,3,3,100,1-1,1,1,100,0,8,0,1,3,3,14,15/2/2011
2010-2011,Regular,OKC,W,100,94,38,10-18,10,18,55.6,2-5,2,5,40,1-1,1,1,100,2,13,0,2,2,0,23,13/2/2011
2010-2011,Regular,PHX,L,88,112,25,5-9,5,9,55.6,2-3,2,3,66.7,0-0,0,0,0,2,2,0,1,0,4,12,10/2/2011
2010-2011,Regular,DEN,W,116,114,29,5-9,5,9,55.6,1-3,1,3,33.3,2-2,2,2,100,1,2,0,0,4,3,13,9/2/2011
2010-2011,Regular,PHX,L,92,104,44,7-17,7,17,41.2,0-6,0,6,0,1-1,1,1,100,2,8,0,1,1,5,15,7/2/2011
2010-2011,Regular,CHI,W,101,90,44,9-15,9,15,60,2-4,2,4,50,3-3,3,3,100,6,8,0,1,1,2,23,5/2/2011
2010-2011,Regular,MIL,W,100,94,34,6-11,6,11,54.5,2-4,2,4,50,2-2,2,2,100,5,5,1,1,2,7,16,3/2/2011
2010-2011,Regular,UTA,W,96,81,35,10-18,10,18,55.6,3-8,3,8,37.5,4-4,4,4,100,6,7,1,2,2,2,27,30/1/2011
2010-2011,Regular,CHA,L,113,121,43,8-12,8,12,66.7,4-5,4,5,80,7-7,7,7,100,3,5,0,2,5,3,27,28/1/2011
